dataset,n_runs,n_qualified,n_promising,n_equivocal,n_adverse,fraction_qualified,retention_zero_fraction,min_utility_lcb,max_utility_lcb,min_movement_lcb,max_movement_lcb
AML,21,11,3,7,0,0.5238095238095238,0.0,-0.0123439913756075,0.0260609811692738,0.1228227261730384,0.1464866304037872
GSE123813,9,5,2,2,0,0.5555555555555556,0.0,-0.0271541587465647,0.0129173456694231,0.0910047571003493,0.1224323905429644
GSE236581,21,0,0,5,16,0.0,1.0,-0.0310477071708479,-0.0193548401793071,0.0651879421606935,0.0781434176185326
GSE272993_9state,35,0,33,2,0,0.0,1.0,-0.0002087288835885,0.0008649153530381,0.0610289947454128,0.0664719594579239
