dataset,n,Adverse,Equivocal,Promising,Qualified
GSE123813,9,0.0,0.2222222222222222,0.2222222222222222,0.5555555555555556
GSE236581,21,0.7619047619047619,0.23809523809523808,0.0,0.0
AML,21,0.0,0.3333333333333333,0.14285714285714285,0.5238095238095238
GSE272993,35,0.0,0.05714285714285714,0.9428571428571428,0.0
