candidate,n_development,n_confirmation,selector_seed,selector_bootstrap,selected_lambda,candidate_mae,reference_mae,candidate_hellinger,reference_hellinger,candidate_brier,reference_brier,movement,movement_lcb,utility,utility_lcb,retention,retention_lcb,honest_qualified,p_m_honest,p_u_honest,p_n_honest,p_candidate_iut_honest,runtime_s,holm_rank,holm_threshold,holm_rejected,family_qualified
RobustBlend,20,13,20260903,2000,0.0,0.2409606933921308,0.2628772546854919,0.2945596854874657,0.3290019870853812,0.2576459207318828,0.317274434760919,0.0523726291683814,0.0489782150501603,0.0219165612933611,-0.0039131012125236,0.0,-6.788828236441658e-16,False,1.9143621110548e-310,0.1156944716804082,1.0,1.0,0.1327922344207763,4,0.05,False,False
DirectDeltaRidge_a10,20,13,20260903,2000,0.0,0.2198444353764644,0.2628772546854919,0.2684211689292747,0.3290019870853812,0.2079934788877091,0.317274434760919,0.0909075625549809,0.0875131484367598,0.0430328193090275,-0.0086265057027415,0.0,-6.788828236441658e-16,False,0.0,0.1250847475483654,1.0,1.0,0.0926153659820556,2,0.0166666666666666,False,False
PatientMultiScaleDelta,20,13,20260903,2000,0.0,0.2451157172142164,0.2628772546854919,0.3002609673774923,0.3290019870853812,0.2690374591882243,0.317274434760919,0.0451910117299507,0.0417965976117296,0.0177615374712755,-0.0029149349828499,0.0,-6.788828236441658e-16,False,2.5042662456542058e-231,0.1096342613882222,1.0,1.0,0.1646854877471923,3,0.025,False,False
CompositionEntropicOT_e0.25,20,13,20260903,2000,0.0,0.2134822755181372,0.2628772546854919,0.2618587178333013,0.3290019870853812,0.186736744409736,0.317274434760919,0.10693075487725,0.1035363407590288,0.0493949791673546,-0.0140408991721169,0.0,-6.788828236441658e-16,False,0.0,0.1626187981458908,1.0,1.0,0.2998018264770508,1,0.0125,False,False
