bootstrap,candidate,candidate_risk,core_qualified,movement,movement_lcb,n_patients,p_candidate_iut_tdiag,p_m_tdiag,p_n_tdiag,p_u_tdiag,reference_risk,retention,retention_lcb,runtime_s,seed,state,utility,utility_lcb,holm_rejected_tdiag,holm_rank_tdiag,holm_threshold_tdiag
2000,CompositionEntropicOT_e0.25,0.1743111105319003,True,0.122271406911316,0.0946128949980877,33,0.0227052232507631,7.95782759933118e-09,0.0149121118188421,0.0227052232507631,0.2027475861257694,0.0106989529613269,0.0015558336389857,22.37401556968689,20260903,Qualified,0.028436475593869,0.0016919284438127,False,1,0.0125
2000,DirectDeltaRidge_a10,0.1742070900100125,False,0.1427880899643136,0.1139010441216594,33,0.0389654605099581,7.221016828515363e-10,0.0388477812401776,0.0389654605099581,0.2027475861257694,0.0079296721933584,-0.0005782414068845,4.690863132476807,20260903,Equivocal,0.0285404961157569,-0.0020696208636128,False,3,0.025
2000,PatientMultiScaleDelta,0.1856369895804363,False,0.0896804632713917,0.0714596884039565,33,0.5850507122533085,7.941442225046473e-10,0.5850507122533085,0.0035487058974337,0.2027475861257694,-0.0001022979866611,-0.0009899623457815,8.535426139831543,20260903,Promising,0.0171105965453331,0.0051773171531167,False,4,0.05
2000,RobustBlend,0.1826947560366569,False,0.0946573439914196,0.0739640533322582,33,0.0315106268155313,3.891677772778708e-09,0.0315106268155313,0.0067435252012377,0.2027475861257694,0.0020670033745778,-0.0001327879536944,6.214984655380249,20260903,Promising,0.0200528300891124,0.0048016856580466,False,2,0.0166666666666666
2000,CompositionEntropicOT_e0.25,0.1743111105319003,True,0.122271406911316,0.0946128949980877,33,0.0227052232507631,7.95782759933118e-09,0.0144534145146477,0.0227052232507631,0.2027475861257694,0.0108242170849699,0.0015414396254101,22.87859344482422,20261003,Qualified,0.028436475593869,0.0020313658520969,False,1,0.0125
2000,DirectDeltaRidge_a10,0.1742070900100125,False,0.1427880899643136,0.1139010441216594,33,0.0389654605099581,7.221016828515363e-10,0.0361536397067136,0.0389654605099581,0.2027475861257694,0.008147326121316,-0.000295044283164,4.686399221420288,20261003,Equivocal,0.0285404961157569,-0.0019219744348622,False,3,0.025
2000,PatientMultiScaleDelta,0.1856369895804363,False,0.0896804632713917,0.0714596884039565,33,0.5850507122533085,7.941442225046473e-10,0.5850507122533085,0.0035487058974337,0.2027475861257694,-0.0001022979866611,-0.001001529063594,8.333204507827759,20261003,Promising,0.0171105965453331,0.0060130226519888,False,4,0.05
2000,RobustBlend,0.1826947560366569,False,0.0946573439914196,0.0739640533322582,33,0.0315106268155313,3.891677772778708e-09,0.0315106268155313,0.0067435252012377,0.2027475861257694,0.0020670033745778,-9.129250186508216e-05,6.313851356506348,20261003,Promising,0.0200528300891124,0.0056608282587627,False,2,0.0166666666666666
2000,CompositionEntropicOT_e0.25,0.1743111105319003,True,0.122271406911316,0.0946128949980877,33,0.0227052232507631,7.95782759933118e-09,0.0150496077400324,0.0227052232507631,0.2027475861257694,0.0106195994188034,0.0012411421198165,21.942373752593998,20261103,Qualified,0.028436475593869,0.0019237995457953,False,1,0.0125
2000,DirectDeltaRidge_a10,0.1742070900100125,False,0.1427880899643136,0.1139010441216594,33,0.0458060994646715,7.221016828515363e-10,0.0458060994646715,0.0389654605099581,0.2027475861257694,0.0073830144162578,-0.0013448933368515,4.529914379119873,20261103,Equivocal,0.0285404961157569,-0.0023342556731515,False,3,0.025
2000,PatientMultiScaleDelta,0.1856369895804363,False,0.0896804632713917,0.0714596884039565,33,0.5850507122533085,7.941442225046473e-10,0.5850507122533085,0.0035487058974337,0.2027475861257694,-0.0001022979866611,-0.0009851243654258,8.396630048751831,20261103,Promising,0.0171105965453331,0.0053577524274597,False,4,0.05
2000,RobustBlend,0.1826947560366569,False,0.0946573439914196,0.0739640533322582,33,0.0315106268155313,3.891677772778708e-09,0.0315106268155313,0.0067435252012377,0.2027475861257694,0.0020670033745778,-9.402979281168112e-05,6.297769069671631,20261103,Promising,0.0200528300891124,0.005291977466878,False,2,0.0166666666666666
2000,CompositionEntropicOT_e0.25,0.1743111105319003,True,0.122271406911316,0.0946128949980877,33,0.0227052232507631,7.95782759933118e-09,0.0142995690302532,0.0227052232507631,0.2027475861257694,0.0108995844248696,0.0019579996885765,22.069600820541385,20261203,Qualified,0.028436475593869,0.0029562417802342,False,1,0.0125
2000,DirectDeltaRidge_a10,0.1742070900100125,False,0.1427880899643136,0.1139010441216594,33,0.0389654605099581,7.221016828515363e-10,0.0359944984263158,0.0389654605099581,0.2027475861257694,0.0082074849943107,-0.0003804310283908,4.436940431594849,20261203,Equivocal,0.0285404961157569,-0.0009404764058299,False,3,0.025
2000,PatientMultiScaleDelta,0.1856369895804363,False,0.0896804632713917,0.0714596884039565,33,0.5850507122533085,7.941442225046473e-10,0.5850507122533085,0.0035487058974337,0.2027475861257694,-0.0001022979866611,-0.0009334686393939,8.373217821121216,20261203,Promising,0.0171105965453331,0.0056469458950492,False,4,0.05
2000,RobustBlend,0.1826947560366569,True,0.0946573439914196,0.0739640533322582,33,0.0315106268155313,3.891677772778708e-09,0.0315106268155313,0.0067435252012377,0.2027475861257694,0.0020670033745778,4.197122528159223e-06,6.543184518814087,20261203,Qualified,0.0200528300891124,0.0053989491769919,False,2,0.0166666666666666
