dataset,candidate,patients,pairs,seconds,PDR,PDR_lo_2s_pct,PUC,PUC_lo_2s_pct,NPI,NPI_lo_2s_pct,movement_denominator,movement_contrast,movement_contrast_lcb_t_1s,utility_lcb_t_1s,retention_lcb_t_1s,legacy_core_state,retention_stability
GSE123813,RobustBlend,9,9,0.8869779109954834,0.8615276731770238,0.5590423205252706,0.022566125489776805,0.012153068365549701,0.007412557561661624,0.002418217197275121,0.15215658100017648,0.1295655393776516,0.1083909289028711,0.01092498802193615,0.002077619351598333,Qualified,0.7777777777777778
GSE272993_9state,RobustBlend,35,113,17.28113579750061,0.41107842163033864,0.35644786610369705,0.0014106706782444633,0.0004483267912333261,0.0,0.0,0.17175049488044325,0.06888541740087774,0.06409209989211762,0.0005225310244768211,0.0,Promising,0.0
GSE236581,RobustBlend,21,34,5.108554363250732,0.3317041426162181,0.2694064484881812,-0.013051007085194693,-0.026919769145159693,0.0,0.0,0.2549691781059623,0.08202464083614043,0.0710490376710957,-0.024578078521000468,0.0,Adverse,0.0
GSE120575,RobustBlend,8,8,0.611992597579956,0.5097202942733928,0.33574539744644716,-0.008613040828544376,-0.043466774335604634,-0.0022628545851136207,-0.0060513289287049635,0.2710864106415979,0.13546738089933713,0.10211419712735689,-0.04598626369321201,-0.005254301200414694,Equivocal,0.375
GSE179994,RobustBlend,8,8,0.6004536151885986,0.7705928195167382,0.5674895710678165,0.01657334587300327,-0.0028193815526187066,-0.0012326520481942844,-0.0032080576286486998,0.17617544108408015,0.1339977754637455,0.11382253681326218,-0.015466019081602597,-0.0030794011495635185,Equivocal,0.375
GSE175522,RobustBlend,6,6,0.35229992866516113,1.0177704250082016,0.529096460305807,-0.0010617183647251107,-0.0066736925970186855,0.0,0.0,0.06527025682175312,0.06577743445765259,0.050195331778712715,-0.007806144140703223,0.0,Equivocal,0.0
HCC,RobustBlend,9,14,0.7978456020355225,0.5402774595793329,0.3515355484697409,0.00016493716025702142,-0.009153222363177602,-0.001140341148764348,-0.0052641181575785005,0.25384462109514905,0.13460808080221398,0.08988311484039224,-0.010929694248180865,-0.0056809213326840646,Equivocal,0.3333333333333333
AML,GraphFlow,21,21,3.574850559234619,0.5576642874765942,0.4217609555254255,0.022859920528727158,-0.0008567758721756914,0.010567025519478126,-0.004443627275412105,0.34243670598264003,0.18754035458781454,0.13771294369895914,0.0023005162478189657,-0.0022881121179409974,Equivocal,1.0
