dataset,seconds,PDR,PDR_lo,PUC,PUC_lo,NPI,NPI_lo,retention_stability,state,movement_denominator,movement_contrast,movement_contrast_lcb_t_1s,utility_lcb_t_1s,retention_lcb_t_1s
GSE123813,1.0334155559539795,0.8615276731770238,0.5484443403621292,0.022566125489776805,0.011877071551893997,0.007412557561661624,0.0023620023602838806,0.7777777777777778,Qualified,0.15215658100017648,0.1295655393776516,0.1083909289028711,0.01092498802193615,0.002077619351598333
AML,4.335002183914185,0.5576642874765942,0.41263606005554265,0.022859920528727158,0.0008140820818936842,0.010705679995249132,-0.0033889899190865883,1.0,Promising,0.34243670598264003,0.18754035458781454,0.13771294369895914,0.0023005162478189657,-0.0021518571907092558
