dataset,deleted_patient,n_patients,n_pairs,candidate,state,qualified,movement_contrast,movement_lcb,utility,utility_lcb,utility_ucb,retention,retention_lcb,retention_ucb,retention_stability,reference_risk,retained_risk,bootstrap,seed,seconds
GSE236581,P01,20,31,RobustBlend,Adverse,False,0.0855379111165482,0.0744171597248515,-0.0136231487025402,-0.027098151263767,-0.0015453302602179,0.0,0.0,0.0,0.0,0.0956226021052848,0.0956226021052848,1000,20780901,2.869667291641236
GSE236581,P02,20,33,RobustBlend,Adverse,False,0.0798056344517229,0.0676209455181781,-0.013064933859109,-0.0280379512887354,-0.0004128712976002,0.0,0.0,0.0,0.0,0.0924143745578591,0.0924143745578591,1000,20781901,2.8208096027374268
GSE236581,P03,20,32,RobustBlend,Adverse,False,0.0825890294907183,0.0711357543078087,-0.013954156338487,-0.0266891891800241,-0.000790217922945,0.0,0.0,0.0,0.0,0.0943265122164472,0.0943265122164472,1000,20782901,2.8240857124328613
GSE236581,P04,20,32,RobustBlend,Adverse,False,0.0826746139411389,0.0710244593718137,-0.0135228297733429,-0.0278879852339148,-9.92665665450674e-05,0.0,0.0,0.0,0.0,0.0968723149616033,0.0968723149616033,1000,20783901,2.797964096069336
GSE236581,P05,20,33,RobustBlend,Adverse,False,0.0886536195681911,0.0781434176185326,-0.0114815843897589,-0.0244516297001353,-0.0011389886778697,0.0,0.0,0.0,0.0,0.0944666143902902,0.0944666143902902,1000,20784901,2.7425429821014404
GSE236581,P08,20,31,RobustBlend,Adverse,False,0.0839260097344827,0.0727132010103436,-0.0139185256356245,-0.027839265360867,-0.0017503333499294,0.0,0.0,0.0,0.0,0.0962009506115385,0.0962009506115385,1000,20785901,2.745582342147827
GSE236581,P09,20,33,RobustBlend,Equivocal,False,0.0823751624588896,0.0717826379249283,-0.0124949104089395,-0.0278518343496122,0.0012688376038652,0.0,0.0,0.0,0.0,0.0952973588003577,0.0952973588003577,1000,20786901,2.815215587615967
GSE236581,P11,20,33,RobustBlend,Equivocal,False,0.0802138964914747,0.069878268192753,-0.0115011526552081,-0.025532300108147,0.0009542538987086,0.0,0.0,0.0,0.0,0.0941619380601903,0.0941619380601903,1000,20787901,2.8198843002319336
GSE236581,P12,20,33,RobustBlend,Equivocal,False,0.0758935163207365,0.0651879421606935,-0.0083262223705979,-0.0193548401793071,0.0024488313362368,0.0,0.0,0.0,0.0,0.0929636316729951,0.0929636316729951,1000,20788901,2.7801859378814697
GSE236581,P14,20,32,RobustBlend,Adverse,False,0.0839771364444122,0.0731361373574576,-0.0126680807264551,-0.0268900345428212,-0.0002755125149584,0.0,0.0,0.0,0.0,0.09549258310101,0.09549258310101,1000,20789901,2.7494704723358154
GSE236581,P15,20,33,RobustBlend,Adverse,False,0.0850303497238051,0.0740024812718965,-0.0131106623902137,-0.0249047521797168,-0.001860975530303,0.0,0.0,0.0,0.0,0.0913666469851921,0.0913666469851921,1000,20790901,2.7898409366607666
GSE236581,P16,20,33,RobustBlend,Adverse,False,0.08096187467292808,0.0689008545786957,-0.01369101599979792,-0.027892725162996977,-0.0015572485961192198,0.0,0.0,0.0,0.0,0.09547764979850294,0.09547764979850294,1000,20791901,2.8298263549804688
GSE236581,P17,20,33,RobustBlend,Adverse,False,0.07860109947131552,0.06583544094014156,-0.014011781274794502,-0.027061606544046036,-0.0021363551020607643,0.0,0.0,0.0,0.0,0.09287810645499135,0.09287810645499135,1000,20792901,2.8118736743927
GSE236581,P18,20,32,RobustBlend,Equivocal,False,0.07887951436345836,0.06831798512750616,-0.013898103152951239,-0.027871669674160417,0.0003537283762215495,0.0,0.0,0.0,0.0,0.09241084455259586,0.09241084455259586,1000,20793901,2.8037781715393066
GSE236581,P19,20,32,RobustBlend,Adverse,False,0.0828057114457097,0.07051634913396515,-0.015107955382208011,-0.029625668099272036,-0.002932174477849719,0.0,0.0,0.0,0.0,0.09437359575889023,0.09437359575889023,1000,20794901,2.8665764331817627
GSE236581,P20,20,32,RobustBlend,Adverse,False,0.08556195371683639,0.07284907740400799,-0.016746071663707406,-0.03104770717084798,-0.005663744578479258,0.0,0.0,0.0,0.0,0.09191616465449402,0.09191616465449402,1000,20795901,2.803684711456299
GSE236581,P22,20,32,RobustBlend,Equivocal,False,0.08140368278004143,0.06963834427406113,-0.013588144789251189,-0.027780241650184077,9.682332544539377e-05,0.0,0.0,0.0,0.0,0.09557452905502989,0.09557452905502989,1000,20796901,2.770535469055176
GSE236581,P23,20,31,RobustBlend,Adverse,False,0.08446138309895021,0.07281303427553794,-0.014136075369374937,-0.027299458607123513,-0.0013590224378151297,0.0,0.0,0.0,0.0,0.0942580843271284,0.0942580843271284,1000,20797901,2.7027981281280518
GSE236581,P24,20,33,RobustBlend,Adverse,False,0.0858387866154802,0.07573953109441137,-0.013687640476076023,-0.027886475606249968,-0.0006858472063827638,0.0,0.0,0.0,0.0,0.09349341781616717,0.09349341781616717,1000,20798901,2.7152085304260254
GSE236581,P25,20,33,RobustBlend,Adverse,False,0.0800132933252001,0.06813414926896208,-0.01312608014600872,-0.02579904828053358,-0.0019824040074755828,0.0,0.0,0.0,0.0,0.09273083206088906,0.09273083206088906,1000,20799901,2.7194836139678955
GSE236581,P26,20,33,RobustBlend,Adverse,False,0.08627225056766163,0.07425758486421674,-0.01378223653684737,-0.027348798811803906,-0.0021820639620209396,0.0,0.0,0.0,0.0,0.09517703394606251,0.09517703394606251,1000,20800901,2.7823538780212402
