dataset,deleted_patient,n_patients,n_pairs,candidate,state,qualified,movement_contrast,movement_lcb,utility,utility_lcb,utility_ucb,retention,retention_lcb,retention_ucb,retention_stability,reference_risk,retained_risk,bootstrap,seed,seconds
GSE272993_9state,12-153,34,108,RobustBlend,Promising,False,0.0697719866980212,0.0647967135046191,0.0013956053955341,0.0002864622427706,0.0025142888151254,0.0,0.0,0.0,0.0,0.0407585694557509,0.0407585694557509,1000,20770901,10.81737732887268
GSE272993_9state,12-211,34,112,RobustBlend,Promising,False,0.0670595394723049,0.0621120782816284,0.0017504982145805,0.0008649153530381,0.0025676031707546,0.0,0.0,0.0,0.0,0.0401602952958197,0.0401602952958197,1000,20771901,10.616657495498655
GSE272993_9state,12-267,34,111,RobustBlend,Promising,False,0.0709930568485573,0.0664719594579239,0.0010166579412588,8.600972227824193e-05,0.0019960813010412,0.0,0.0,0.0,0.0,0.0409440644681183,0.0409440644681183,1000,20772901,10.87554097175598
GSE272993_9state,13-344,34,110,RobustBlend,Promising,False,0.0692189847090376,0.0643324459458717,0.001235555350988,0.0002473548593697,0.0022413753042999,0.0,0.0,0.0,0.0,0.0406260049026253,0.0406260049026253,1000,20773901,10.67711305618286
GSE272993_9state,13-348,34,110,RobustBlend,Promising,False,0.0703776117726888,0.0653745515922599,0.0011088951084659,0.0001292894918743,0.0020191236726013,0.0,0.0,0.0,0.0,0.0406272667609698,0.0406272667609698,1000,20774901,10.65990686416626
GSE272993_9state,13-349,34,110,RobustBlend,Promising,False,0.0703213064451736,0.0651528290923749,0.0010749410032681,0.0002803687053219,0.0019734859734067,0.0,0.0,0.0,0.0,0.0404526656582903,0.0404526656582903,1000,20775901,10.560444593429564
GSE272993_9state,13-447,34,111,RobustBlend,Equivocal,False,0.0699646042777746,0.0647882600984851,0.001157686021554,-2.343765611133242e-05,0.0023022285174828,0.0,0.0,0.0,0.0,0.0411412028266724,0.0411412028266724,1000,20776901,10.716495752334597
GSE272993_9state,13-471,34,112,RobustBlend,Promising,False,0.0711290141780508,0.0659517055344385,0.0011782619155926,0.0001301556777219,0.0023121900891761,0.0,0.0,0.0,0.0,0.0413459055644183,0.0413459055644183,1000,20777901,10.91625428199768
GSE272993_9state,13-508,34,112,RobustBlend,Promising,False,0.0712772717743633,0.0659752914283325,0.0014842939524967,0.0002816890334036,0.0027130886139237,0.0,0.0,0.0,0.0,0.0406921595560209,0.0406921595560209,1000,20778901,11.308969736099243
GSE272993_9state,13-588,34,107,RobustBlend,Promising,False,0.0675049590781566,0.0626923245425444,0.0014939322192296,0.0005753617622712,0.0024679702422435,0.0,0.0,0.0,0.0,0.0404390102121221,0.0404390102121221,1000,20779901,10.82624650001526
GSE272993_9state,13-660,34,110,RobustBlend,Promising,False,0.070271578515287,0.0652036308516379,0.0012871458358262,0.0003300179746338,0.0022598009434021,0.0,0.0,0.0,0.0,0.0409486935629042,0.0409486935629042,1000,20780901,10.52159023284912
GSE272993_9state,13-687,34,107,RobustBlend,Promising,False,0.0692942078267533,0.0643855199879534,0.0013969342387145,0.0003929832053917,0.0025081584085073,0.0,0.0,0.0,0.0,0.0405873543946919,0.0405873543946919,1000,20781901,10.46503233909607
GSE272993_9state,13-689,34,109,RobustBlend,Promising,False,0.0691517518146377,0.0642297352342536,0.0014886903898356,0.0004904003880457,0.0025463736235929,0.0,0.0,0.0,0.0,0.0403971972641398,0.0403971972641398,1000,20782901,10.62117052078247
GSE272993_9state,14-1063,34,110,RobustBlend,Promising,False,0.0698251975943651,0.064801127421569,0.0012870327499494,0.0002921649194765,0.0023764925534002,0.0,0.0,0.0,0.0,0.0403796667223257,0.0403796667223257,1000,20783901,10.533885955810549
GSE272993_9state,14-1128,34,109,RobustBlend,Promising,False,0.0711155007422995,0.0660871495555304,0.0013484341577596,0.000288349668829,0.0024108795908228,0.0,0.0,0.0,0.0,0.0410533026617567,0.0410533026617567,1000,20784901,10.826773643493652
GSE272993_9state,14-1138,34,112,RobustBlend,Promising,False,0.0706173296390056,0.0654555044108893,0.0016024565453156,0.0004816064800288,0.002638424752797,0.0,0.0,0.0,0.0,0.0411843127954977,0.0411843127954977,1000,20785901,11.110156297683716
GSE272993_9state,14-1189,34,105,RobustBlend,Promising,False,0.0682445385200339,0.0634360727862495,0.0014243292572701,0.0004066144175046,0.0025755044980173,0.0,0.0,0.0,0.0,0.0407437269581196,0.0407437269581196,1000,20786901,10.628031015396118
GSE272993_9state,14-1319,34,112,RobustBlend,Promising,False,0.0666071458606605,0.0620236875513877,0.0009901937754061,8.365901523445308e-05,0.0019329364073171,0.0,0.0,0.0,0.0,0.0399788273141124,0.0399788273141124,1000,20787901,11.154186725616457
GSE272993_9state,14-745,34,110,RobustBlend,Promising,False,0.0697299141597141,0.0649661275011772,0.0014509269488583,0.0004551907771337,0.0024475217332653,0.0,0.0,0.0,0.0,0.0414019361715555,0.0414019361715555,1000,20788901,10.651784181594849
GSE272993_9state,14-835,34,109,RobustBlend,Promising,False,0.0688391715739932,0.0639190658360296,0.0013293012765115,0.0002946268800222,0.0023975518183102,0.0,0.0,0.0,0.0,0.0405502437822569,0.0405502437822569,1000,20789901,10.467430830001833
GSE272993_9state,14-839,34,109,RobustBlend,Promising,False,0.069877342866691,0.0648556674599778,0.001468161706413,0.0003445605903967,0.0025954598416783,0.0,0.0,0.0,0.0,0.0408835287249067,0.0408835287249067,1000,20790901,10.940060138702393
GSE272993_9state,14-970,34,110,RobustBlend,Promising,False,0.0681060529272757,0.0631247130165477,0.00133858773858,0.0004074739675432,0.0022971886922017,0.0,0.0,0.0,0.0,0.0405262628516301,0.0405262628516301,1000,20791901,10.672581911087036
GSE272993_9state,14-998,34,111,RobustBlend,Promising,False,0.0685372273557438,0.0636619955253246,0.0013087815357067,0.0003245447817498,0.0023504438019596,0.0,0.0,0.0,0.0,0.0404985025556731,0.0404985025556731,1000,20792901,10.610833168029783
GSE272993_9state,15-1471,34,109,RobustBlend,Promising,False,0.066434969241504,0.0616161064685984,0.0016847653341605,0.0006999242314313,0.0027878630364582,0.0,0.0,0.0,0.0,0.0401189755011122,0.0401189755011122,1000,20793901,10.767858982086182
GSE272993_9state,16-2006,34,109,RobustBlend,Promising,False,0.0689622258572383,0.0639859900098053,0.0011947846984939,0.0001669009093091,0.0022163530898805,0.0,0.0,0.0,0.0,0.0405283590635474,0.0405283590635474,1000,20794901,11.010770797729492
