dataset,deleted_patient,n_patients,n_pairs,candidate,state,qualified,movement_contrast,movement_lcb,utility,utility_lcb,utility_ucb,retention,retention_lcb,retention_ucb,retention_stability,reference_risk,retained_risk,bootstrap,seed,seconds
AML,AML10,20,20,GraphFlow,Qualified,True,0.1952621831747157,0.1396917679922097,0.0324748876724102,0.0082955465650066,0.0556367306451991,0.0171811130841176,0.004919830593417,0.0320703116824471,1.0,0.1553194730184901,0.1381383599343725,1000,20830901,2.2819228172302246
AML,AML12,20,20,GraphFlow,Qualified,True,0.1734394803220807,0.1246342351537451,0.0350433158856061,0.0155700518683989,0.0579103599587654,0.0123242080475456,0.0026565263686595,0.0226898943351412,0.9,0.1609203210556379,0.1485961130080922,1000,20831901,2.1813576221466064
AML,AML13,20,20,GraphFlow,Promising,False,0.189679911926113,0.1371305432391601,0.0247406556288259,4.010694084341692e-05,0.0502778345189247,0.0117788306907144,-0.0027809109400517,0.0270395656107767,1.0,0.147690008528548,0.1359111778378336,1000,20832901,2.1894872188568115
AML,AML15,20,20,GraphFlow,Equivocal,False,0.1933300844850789,0.1417984588319996,0.0120874439002692,-0.0090787799037449,0.0344272545576759,0.0025587025846791,-0.0046243771827489,0.0089602138849597,1.0,0.1363782834776166,0.1338195808929374,1000,20833901,2.1984217166900635
AML,AML16,20,20,GraphFlow,Equivocal,False,0.1902058628245288,0.1366796217581726,0.0108816266275169,-0.0123439913756075,0.0337990774877529,-0.0008383079589622,-0.005559322981909,0.0034996380497792,0.9,0.1346307893705261,0.1354690973294884,1000,20834901,2.1994075775146484
AML,AML17,20,20,GraphFlow,Equivocal,False,0.1958246641875924,0.1435855985858871,0.0172546280581832,-0.0064452158040668,0.0421577267037381,0.0018112311864149,-0.0077770201715753,0.013794519076921,0.9,0.1344201894059234,0.1326089582195085,1000,20835901,2.28055739402771
AML,AML18,20,20,GraphFlow,Promising,False,0.1810916190954997,0.1296844814907866,0.0270125597743016,0.0034491252292555,0.0494858380333249,0.0122837859619273,-0.0011587015457968,0.0241142422140319,1.0,0.1486864157807731,0.1364026298188457,1000,20836901,2.2244739532470703
AML,AML19,20,20,GraphFlow,Qualified,True,0.1970540575297825,0.1464866304037872,0.0354683080239443,0.0171484535166915,0.0569304723356597,0.0199665202469249,0.0080546439745156,0.0329955371353848,1.0,0.1593361977582853,0.1393696775113604,1000,20837901,2.1920812129974365
AML,AML2,20,20,GraphFlow,Qualified,True,0.1674348315890913,0.1232156220668802,0.0350862274685328,0.0171329632385178,0.0540135743749392,0.0135145376459841,0.0065102948078593,0.0207793369200173,1.0,0.1594727351764222,0.1459581975304381,1000,20838901,2.227524518966675
AML,AML21,20,20,GraphFlow,Qualified,True,0.1944267917162745,0.1428703293629409,0.0281565164930035,0.0094311634965905,0.049727005540063,0.0118368306256971,0.0004929508473754,0.0244410642476582,0.8,0.1531585233823245,0.1413216927566273,1000,20839901,2.1872031688690186
