dataset,deleted_patient,n_patients,n_pairs,candidate,state,qualified,movement_contrast,movement_lcb,utility,utility_lcb,utility_ucb,retention,retention_lcb,retention_ucb,retention_stability,reference_risk,retained_risk,bootstrap,seed,seconds
GSE123813,su001,8,8,RobustBlend,Qualified,True,0.1219218732076494,0.09809706091196976,0.025144040523799482,0.012558250793828194,0.03915642703046971,0.005860950015388858,0.0006731010920961317,0.013229491113282033,0.625,0.07645543767154138,0.07059448765615253,1000,20760901,0.4225575923919678
GSE123813,su004,8,8,RobustBlend,Promising,False,0.12062897228109243,0.09111623119575536,0.013045581106488686,0.002990123943603408,0.027555261093789578,0.00011854992093578826,-0.00020604608348435825,0.0004987193239119743,0.5,0.06593798735978158,0.0658194374388458,1000,20761901,0.39768528938293457
GSE123813,su005,8,8,RobustBlend,Qualified,True,0.13201194279709888,0.1059515922721521,0.022303209299478773,0.012650259255160981,0.0333736817804168,0.006446619763420305,0.0018333470089704493,0.011762156348629555,0.625,0.07417544038897239,0.0677288206255521,1000,20762901,0.4011566638946533
GSE123813,su006,8,8,RobustBlend,Qualified,True,0.1425023718764084,0.11675887963835531,0.02399388342626904,0.011679433310115308,0.038921555264722026,0.006868829757856469,0.0023940599244561024,0.012382045716235688,0.75,0.07358550717784695,0.06671667741999049,1000,20763901,0.421555757522583
GSE123813,su007,8,8,RobustBlend,Promising,False,0.11836527230823654,0.09100475710034937,0.014511059877540937,0.003110139996342908,0.032166067532974685,0.00013876803161657096,-1.734723475976807e-18,0.00041630409484971114,0.375,0.059429054721018934,0.059290286689402366,1000,20764901,0.4003119468688965
GSE123813,su008,8,8,RobustBlend,Qualified,True,0.11460540978936878,0.0971830531398006,0.02685931587901508,0.012917345669423139,0.043739821000153695,0.008030567143306917,0.0025107784630911153,0.013797551109619829,0.625,0.07560886599104383,0.06757829884773692,1000,20765901,0.39317774772644043
GSE123813,su009,8,8,RobustBlend,Equivocal,False,0.13754515406687773,0.12243239054296441,-0.012037671262686542,-0.027154158746564773,0.0016224046209158739,-0.00020203849616938496,-0.0006061154885081549,0.0,0.125,0.029813467683088502,0.030015506179257887,1000,20766901,0.39388108253479004
GSE123813,su010,8,8,RobustBlend,Equivocal,False,0.13984871526924286,0.11475231294553723,0.008668304280559171,-3.646665345451071e-05,0.022247998758626666,0.0021832776524492144,-0.00031607748154995616,0.005571862199693199,0.625,0.051836983479961726,0.049653705827512516,1000,20767901,0.38993310928344727
GSE123813,su012,8,8,RobustBlend,Qualified,True,0.14172055617539503,0.11601525306297496,0.01858278415031169,0.007131924188013571,0.03311992140149008,0.004322000212049527,0.0010846351954712525,0.008080673265962655,0.75,0.06663575907043759,0.062313758858388066,1000,20768901,0.378248929977417
