n_patients,cells_per_patient,replicates,theta,alpha,patient_one_sided_power,mean_patient_95ci_halfwidth,mean_patient_estimate,empirical_sd_patient_estimate
10,1000,50000,0.35,0.05,0.26616,0.6955057665847915,0.3473963802544908,0.31623252107628164
20,1000,50000,0.35,0.05,0.44474,0.4624377758474796,0.3506084195581412,0.22433319794707396
40,1000,50000,0.35,0.05,0.70246,0.3177143788687999,0.3497072974043245,0.15841219708989923
80,1000,50000,0.35,0.05,0.92678,0.22193291109794885,0.3499901963936334,0.11210168894347311
